Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
UBC 602                       ;FoF 899                       ;     ;      ;     ;        ;
UBC 602                       ;FoF 916                       ;     ;      ;     ;        ;
UBC 602                       ;UBC 186                       ;     ;      ;     ;        ;
UBC 604                       ;FoF 2014                      ;     ;      ;     ;        ;
UBC 604                       ;FoF 2014                      ;   48;    76;   27;  56.250;  35.526
UBC 604                       ;Theia 2757                    ;     ;      ;     ;        ;
UBC 604                       ;Theia 2757                    ;   48;   101;   12;  25.000;  11.881
UBC 606                       ;FoF 180                       ;     ;      ;     ;        ;
UBC 606                       ;UBC 192                       ;     ;      ;     ;        ;
UBC 609                       ;FoF 1966                      ;     ;      ;     ;        ;
UBC 609                       ;FoF 1966                      ;  228;    50;    7;   3.070;  14.000
UBC 609                       ;Waterloo 1                    ;  228;    47;   32;  14.035;  68.085
UBC 61                        ;Theia 3625                    ;     ;      ;     ;        ;
UBC 61                        ;Theia 3625                    ;   52;   136;   43;  82.692;  31.618
UBC 611                       ;FSR 719                       ;     ;      ;     ;        ;
UBC 614                       ;Theia 1992                    ;     ;      ;     ;        ;
UBC 614                       ;Theia 1992                    ;   21;   235;   18;  85.714;   7.660
UBC 617                       ;Theia 4212                    ;     ;      ;     ;        ;
UBC 617                       ;Theia 4212                    ;   12;    72;    9;  75.000;  12.500
UBC 62                        ;COIN-Gaia 15                  ;     ;      ;     ;        ;
UBC 62                        ;Theia 2491                    ;     ;      ;     ;        ;
UBC 620                       ;Theia 1775                    ;     ;      ;     ;        ;
UBC 620                       ;Theia 1775                    ;   17;    59;   17; 100.000;  28.814
UBC 621                       ;NGC 1977                      ;     ;      ;     ;        ;
UBC 621                       ;UPK 412                       ;     ;      ;     ;        ;
UBC 63                        ;Kronberger 18                 ;     ;      ;     ;        ;
UBC 63                        ;Theia 2095                    ;   26;   513;   20;  76.923;   3.899
UBC 631                       ;FoF 1401                      ;     ;      ;     ;        ;
UBC 631                       ;NGC 2401                      ;   25;   193;    8;  32.000;   4.145
UBC 633                       ;NGC 2414                      ;   16;   241;   10;  62.500;   4.149
UBC 634                       ;UBC 450                       ;   30;   175;   29;  96.667;  16.571
UBC 637                       ;UBC 638                       ;   67;    10;    8;  11.940;  80.000
UBC 638                       ;UBC 637                       ;   10;    67;    8;  80.000;  11.940
UBC 64                        ;FSR 771                       ;     ;      ;     ;        ;
UBC 641                       ;Ruprecht 35                   ;   12;    73;    4;  33.333;   5.479
UBC 641                       ;Theia 1852                    ;   12;   206;    2;  16.667;   0.971
UBC 643                       ;FoF 99                        ;     ;      ;     ;        ;
UBC 643                       ;FoF 99                        ;   49;   106;   28;  57.143;  26.415
UBC 644                       ;FoF 961                       ;   17;    64;    2;  11.765;   3.125
UBC 647                       ;Theia 5353                    ;     ;      ;     ;        ;
UBC 647                       ;Theia 5353                    ;   13;   110;   13; 100.000;  11.818
UBC 65                        ;COIN-Gaia 19                  ;     ;      ;     ;        ;
UBC 65                        ;Theia 3889                    ;     ;      ;     ;        ;
UBC 650                       ;FoF 1474                      ;     ;      ;     ;        ;
UBC 650                       ;FoF 1475                      ;   20;    63;    3;  15.000;   4.762
UBC 650                       ;FoF 397                       ;     ;      ;     ;        ;
UBC 653                       ;Bochum 10                     ;     ;      ;     ;        ;
UBC 654                       ;FoF 229                       ;     ;      ;     ;        ;
UBC 654                       ;FoF 229                       ;  153;   557;   67;  43.791;  12.029
UBC 654                       ;Kronberger 37                 ;     ;      ;     ;        ;
UBC 658                       ;Feinstein 1                   ;     ;      ;     ;        ;
UBC 658                       ;UBC 266                       ;     ;      ;     ;        ;
UBC 659                       ;FoF 1533                      ;     ;      ;     ;        ;
UBC 659                       ;FoF 1533                      ;   19;    53;    9;  47.368;  16.981
UBC 659                       ;Hogg 12                       ;   19;   158;    9;  47.368;   5.696
UBC 66                        ;COIN-Gaia 20                  ;     ;      ;     ;        ;
UBC 661                       ;ASCC 65                       ;     ;      ;     ;        ;
UBC 662                       ;FoF 419                       ;     ;      ;     ;        ;
UBC 663                       ;Theia 3053                    ;    7;    67;    1;  14.286;   1.493
UBC 663                       ;Theia 3079                    ;    7;   988;    2;  28.571;   0.202
UBC 667                       ;FoF 1618                      ;     ;      ;     ;        ;
UBC 667                       ;FoF 1618                      ;   28;    81;   24;  85.714;  29.630
UBC 667                       ;Hogg 19                       ;   28;   186;   25;  89.286;  13.441
UBC 67                        ;COIN-Gaia 40                  ;     ;      ;     ;        ;
UBC 670                       ;Theia 1822                    ;     ;      ;     ;        ;
UBC 670                       ;Theia 2612                    ;     ;      ;     ;        ;
UBC 670                       ;Theia 2612                    ;   10;   106;    8;  80.000;   7.547
UBC 672                       ;NGC 6231                      ;   15;   527;    5;  33.333;   0.949
UBC 672                       ;Theia 1672                    ;   15;  1200;   14;  93.333;   1.167
UBC 69                        ;Theia 1806                    ;     ;      ;     ;        ;
UBC 7                         ;Alessi 36                     ;     ;      ;     ;        ;
UBC 7                         ;Collinder 135                 ;     ;      ;     ;        ;
