Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
NGC 869                                1330                     TRUMPLER                         1930, LOB,14,170,156
NGC 869                                1615                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 869                                1629     0.583   6.860   JOHNSON H.L.                     1955, ASTROPHYS.J. 122, 429
NGC 869                                1800                     MARKARJAN                        1951, BIUR.SOOB,9,6
NGC 869                                1871     0.566   6.50    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 869                                1900                     BEALS                            1953, MN,113,542
NGC 869                                1900                     WEAVER                           1953, AJ,58,179
NGC 869                                2000                     CRAWFORD                         1970, AJ,75,822
NGC 869                                2025     0.619   6.91    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 869                                2090                     VASILEVSKIJ                      1972, A.ZH,49,378
NGC 869                                2100                     WALBORN                          1972, AJ,77,315
NGC 869                                2113     0.39    7.55    Bukowiecki L., et al.            2011, AcA 62
NGC 869                                2126     0.550   7.354   WILDEY R.L.                      1964, ASTROPHYS.J.SUPPL. 8,
NGC 869                                2150             7.00    LINDOFF                          1968, SV.ARK.A,5,1
NGC 869                                2150                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 869                                2150                     BECKER                           1971, AS.AP.SUP,4,241
NGC 869                                2150             6.81    SCHILD                           1967, AP.J,148,449
NGC 869                                2150                     BECKER                           1963, ZF.A,57,117
NGC 869                                2155                     BECKER                           1958, ZF.A,45,269
NGC 869                                2155                     BECKER                           1961, ZF.A,51,151
NGC 869                                2160                     SANFORD                          1949, AP.J,110,117
NGC 869                                2170                     BORGMANN                         1964, BAN,17,358
NGC 869                                2170     0.58    7.10    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 869                                2180                     COLLINDER                        1931, LD.AN,2,CR
NGC 869                                2180                     COLLINDER                        1931, LD.AN,2,LK
