Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
FSR 178                  ; 2016DAML            ; 1.34 ;  9.18
FSR 178                  ; Kharchenko+ 2013    ; 1.228;  9.180
FSR 182                  ; 2016DAML            ; 0.625;  9.000
FSR 182                  ; Kharchenko+ 2013    ; 0.625;  9.000
FSR 190                  ; 2016DAML            ; 0.874;  6.100
FSR 190                  ; Garro 2021 priv     ; 2.14 ;
FSR 190                  ; Kharchenko+ 2013    ; 0.874;  6.100
FSR 195                  ; 2016DAML            ; 1.437;  9.345
FSR 195                  ; Kharchenko+ 2013    ; 1.437;  9.345
FSR 198                  ; 2016DAML            ; 0.96 ;  7.00
FSR 198                  ; 2020A&A...640A...1C ; 0.778;  6.67
FSR 198                  ; Dias 2021           ; 0.834;  6.944
FSR 198                  ; Kharchenko+ 2013    ; 0.895;  6.560
FSR 198                  ; Tarricq 2021        ;      ;  6.73
FSR 213                  ; 2016DAML            ; 0.833;  8.715
FSR 213                  ; Kharchenko+ 2013    ; 0.833;  8.715
FSR 219                  ; 2016DAML            ; 0.833;  6.500
FSR 219                  ; Kharchenko+ 2013    ; 0.833;  6.500
FSR 222                  ; 2016DAML            ; 1.666;  7.200
FSR 222                  ; Kharchenko+ 2013    ; 1.666;  7.200
FSR 223                  ; 2016DAML            ; 1.832;  6.550
FSR 223                  ; Kharchenko+ 2013    ; 1.832;  6.550
FSR 224                  ; 2016DAML            ; 0.708;  9.005
FSR 224                  ; Dias 2021           ; 0.987;  6.739
FSR 224                  ; Kharchenko+ 2013    ; 0.708;  9.005
FSR 227                  ; Kharchenko+ 2013    ; 1.041;  8.515
FSR 236                  ; 2016DAML            ; 1.172;  8.200
FSR 236                  ; Dias 2021           ; 1.150;  6.877
FSR 236                  ; Kharchenko+ 2013    ; 1.172;  8.200
FSR 238                  ; 2016DAML            ; 1.707;  6.770
FSR 238                  ; 2020A&A...640A...1C ; 1.469;  7.87
FSR 238                  ; Kharchenko+ 2013    ; 1.707;  6.770
FSR 241                  ; 2020A&A...640A...1C ; 0.322;  9.12
FSR 241                  ; Dias 2021           ; 0.428;  9.081
FSR 241                  ; Kharchenko+ 2013    ; 0.062;  9.100
FSR 241                  ; Tarricq 2021        ;      ;  9.20
FSR 245                  ; 2016DAML            ; 1.332;  8.580
FSR 245                  ; Kharchenko+ 2013    ; 1.332;  8.580
FSR 246                  ; BDCC                ;      ;  6.30
FSR 249                  ; 2016DAML            ; 1.353;  6.100
FSR 249                  ; Kharchenko+ 2013    ; 1.353;  6.100
FSR 258                  ; 2016DAML            ; 1.666;  8.300
FSR 258                  ; Kharchenko+ 2013    ; 1.666;  8.300
FSR 260                  ; 2016DAML            ; 0.625;  8.930
FSR 260                  ; Kharchenko+ 2013    ; 0.625;  8.930
FSR 261                  ; 2016DAML            ; 1.395;  8.275
FSR 261                  ; Kharchenko+ 2013    ; 1.395;  8.275
FSR 265                  ; Kharchenko+ 2013    ; 0.791;  9.000
FSR 270                  ; 2016DAML            ; 0.854;  8.255
FSR 270                  ; Kharchenko+ 2013    ; 0.854;  8.255
FSR 275                  ; 2016DAML            ; 0.833;  8.910
FSR 275                  ; 2017AstBu..72..257L ; 0.886;  8.850
FSR 275                  ; 2020A&A...640A...1C ; 0.753;  8.93
FSR 275                  ; Dias 2021           ; 1.003;  8.934
FSR 275                  ; Kharchenko+ 2013    ; 0.833;  8.910
FSR 275                  ; Tarricq 2021        ;      ;  8.98
FSR 278                  ; 2020A&A...640A...1C ; 0.266;  9.34
FSR 278                  ; Dias 2021           ; 0.332;  9.392
FSR 278                  ; Kharchenko+ 2013    ; 0.708;  8.850
FSR 278                  ; Tarricq 2021        ;      ;  9.37
FSR 282                  ; 2016DAML            ; 0.874;  9.240
FSR 282                  ; 2020A&A...640A...1C ; 1.128;  8.54
FSR 282                  ; Dias 2021           ; 1.261;  8.661
FSR 282                  ; Kharchenko+ 2013    ; 0.874;  9.240
FSR 282                  ; Tarricq 2021        ;      ;  8.56
FSR 284                  ; 2016DAML            ; 0.687;  8.775
FSR 284                  ; 2020A&A...640A...1C ; 0.856;  7.88
FSR 284                  ; Dias 2021           ; 0.864;  7.170
FSR 284                  ; Kharchenko+ 2013    ; 0.687;  8.775
FSR 288                  ; 2016DAML            ; 0.791;  8.470
FSR 288                  ; Kharchenko+ 2013    ; 0.791;  8.470
FSR 290                  ; 2016DAML            ; 0.802;  8.920
FSR 290                  ; Kharchenko+ 2013    ; 0.802;  8.920
FSR 291                  ; Kharchenko+ 2013    ; 1.124;  8.755
FSR 296                  ; 2016DAML            ; 0.731;  8.938
FSR 296                  ; 2020A&A...640A...1C ; 0.734;  8.50
FSR 296                  ; Dias 2021           ; 0.873;  8.637
FSR 296                  ; Kharchenko+ 2013    ; 0.731;  8.938
FSR 296                  ; Tarricq 2021        ;      ;  8.56
FSR 306                  ; 2016DAML            ; 1.291;  7.500
FSR 306                  ; 2020A&A...640A...1C ; 0.872;  8.71
FSR 306                  ; Dias 2021           ; 0.997;  7.695
FSR 306                  ; Kharchenko+ 2013    ; 1.291;  7.500
FSR 306                  ; Tarricq 2021        ;      ;  8.73
FSR 307                  ; 2016DAML            ; 0.500;  9.150
FSR 307                  ; Kharchenko+ 2013    ; 0.500;  9.150
FSR 31                   ; 2016DAML            ; 1.759;  8.550
FSR 31                   ; Kharchenko+ 2013    ; 1.759;  8.550
FSR 312                  ; 2016DAML            ; 0.889;  8.660
FSR 312                  ; Kharchenko+ 2013    ; 0.889;  8.660
FSR 316                  ; 2016DAML            ; 0.500;  8.915
FSR 316                  ; Kharchenko+ 2013    ; 0.500;  8.915
FSR 320                  ; 2016DAML            ; 1.020;  8.850
FSR 320                  ; Kharchenko+ 2013    ; 1.020;  8.850
FSR 322                  ; 2016DAML            ; 0.450;  9.250
FSR 322                  ; Kharchenko+ 2013    ; 0.450;  9.250
FSR 324                  ; 2016DAML            ; 0.660;  9.000
FSR 324                  ; Kharchenko+ 2013    ; 0.937;  8.180
FSR 325                  ; 2016DAML            ; 0.481;  8.450
FSR 325                  ; Kharchenko+ 2013    ; 0.481;  8.450
FSR 326                  ; 2016DAML            ; 1.770;  8.700
FSR 326                  ; Kharchenko+ 2013    ; 1.562;  8.100
FSR 333                  ; 2016DAML            ; 1.099;  8.895
FSR 333                  ; Kharchenko+ 2013    ; 1.099;  8.895
FSR 336                  ; 2016DAML            ; 0.500;  9.100
FSR 336                  ; 2017AstBu..72..257L ; 0.850;  8.600
FSR 336                  ; 2020A&A...640A...1C ; 0.856;  7.68
FSR 336                  ; Dias 2021           ; 0.967;  7.088
FSR 336                  ; Kharchenko+ 2013    ; 0.500;  9.100
FSR 336                  ; Tarricq 2021        ;      ;  7.79
FSR 338                  ; 2016DAML            ; 2.082;  8.100
FSR 338                  ; Kharchenko+ 2013    ; 2.082;  8.100
FSR 342                  ; 2016DAML            ; 0.625;  8.850
FSR 342                  ; 2017AstBu..72..257L ; 0.418;  8.780
FSR 342                  ; 2020A&A...640A...1C ; 0.272;  9.18
FSR 342                  ; Dias 2021           ; 0.577;  8.882
FSR 342                  ; Kharchenko+ 2013    ; 0.650;  8.275
FSR 342                  ; Tarricq 2021        ;      ;  9.18
FSR 344                  ; 2020A&A...640A...1C ; 0.950;  9.54
FSR 344                  ; Kharchenko+ 2013    ; 0.720;  8.900
FSR 344                  ; Tarricq 2021        ;      ;  9.50
FSR 35                   ; 2016DAML            ; 1.208;  6.600
FSR 35                   ; Kharchenko+ 2013    ; 1.208;  6.600
FSR 351                  ; Kharchenko+ 2013    ; 0.416;  9.125
FSR 354                  ; 2016DAML            ; 0.500;  8.000
FSR 354                  ; 2017AstBu..72..257L ; 0.611;  8.250
FSR 354                  ; Kharchenko+ 2013    ; 0.500;  8.000
FSR 357                  ; 2016DAML            ; 0.400;  8.835
FSR 357                  ; 2019 Bossini        ; 1.459;  7.881
FSR 357                  ; 2020A&A...640A...1C ; 0.381;  8.08
FSR 357                  ; Dias 2021           ; 0.560;  7.942
FSR 357                  ; Kharchenko+ 2013    ; 0.400;  8.835
FSR 358                  ; 2016DAML            ; 2.311;  9.300
FSR 358                  ; Kharchenko+ 2013    ; 2.311;  9.300
FSR 366                  ; 2016DAML            ; 1.103;  8.715
FSR 366                  ; Kharchenko+ 2013    ; 1.103;  8.715
FSR 369                  ; 2016DAML            ; 1.770;  9.100
FSR 369                  ; Kharchenko+ 2013    ; 1.770;  9.100
FSR 377                  ; 2016DAML            ; 0.600;  7.700
FSR 377                  ; Dias 2021           ; 0.696;  7.085
FSR 377                  ; Kharchenko+ 2013    ; 0.600;  7.700
FSR 378                  ; Kharchenko+ 2013    ; 2.700;  8.100
FSR 379                  ; Kharchenko+ 2013    ; 1.874;  8.120
FSR 381                  ; 2016DAML            ; 0.770;  8.980
FSR 381                  ; Kharchenko+ 2013    ; 0.770;  8.250
FSR 384                  ; 2016DAML            ; 0.604;  8.925
FSR 384                  ; 2020A&A...640A...1C ; 0.316;  8.63
FSR 384                  ; Dias 2021           ; 0.414;  8.494
FSR 384                  ; Kharchenko+ 2013    ; 0.750;  6.850
FSR 385                  ; 2016DAML            ; 0.979;  8.850
FSR 385                  ; 2020A&A...640A...1C ; 0.684;  8.85
FSR 385                  ; Dias 2021           ; 0.820;  8.790
FSR 385                  ; Kharchenko+ 2013    ; 0.979;  8.850
FSR 385                  ; Tarricq 2021        ;      ;  8.93
FSR 39                   ; 2016DAML            ; 0.802;  6.000
FSR 39                   ; Kharchenko+ 2013    ; 0.802;  6.000
FSR 394                  ; 2016DAML            ; 0.999;  9.200
FSR 394                  ; Kharchenko+ 2013    ; 0.999;  9.200
FSR 398                  ; 2020A&A...640A...1C ; 0.628;  7.26
FSR 398                  ; Dias 2021           ; 0.632;  7.334
FSR 398                  ; Kharchenko+ 2013    ; 0.849;  7.700
FSR 398                  ; Tarricq 2021        ;      ;  7.28
FSR 401                  ; 2016DAML            ; 1.145;  8.600
FSR 401                  ; 2020A&A...640A...1C ; 1.006;  8.43
FSR 401                  ; Dias 2021           ; 0.983;  8.772
FSR 401                  ; Kharchenko+ 2013    ; 1.145;  8.600
FSR 404                  ; 2016DAML            ; 2.165;  8.400
FSR 404                  ; Kharchenko+ 2013    ; 2.165;  8.400
FSR 405                  ; Kharchenko+ 2013    ; 0.666;  9.300
FSR 406                  ; 2016DAML            ; 1.449;  9.000
FSR 406                  ; Kharchenko+ 2013    ; 3.192;  7.300
FSR 413                  ; 2016DAML            ; 1.549;  8.250
FSR 413                  ; Kharchenko+ 2013    ; 1.549;  8.250
FSR 414                  ; 2016DAML            ; 0.625;  8.790
FSR 414                  ; Kharchenko+ 2013    ; 0.666;  8.725
FSR 416                  ; 2016DAML            ; 0.550;  7.850
FSR 416                  ; Kharchenko+ 2013    ; 0.550;  7.850
FSR 417                  ; 2016DAML            ; 0.666;  8.830
FSR 417                  ; Kharchenko+ 2013    ; 0.958;  8.275
FSR 423                  ; Kharchenko+ 2013    ; 1.049;  9.100
FSR 430                  ; 2020A&A...640A...1C ; 0.763;  7.91
FSR 430                  ; Dias 2021           ; 0.919;  8.558
FSR 430                  ; Kharchenko+ 2013    ; 0.625;  8.880
FSR 435                  ; 2016DAML            ; 0.531;  8.350
FSR 435                  ; Kharchenko+ 2013    ; 0.531;  8.350
FSR 441                  ; 2016DAML            ; 0.521;  8.650
FSR 441                  ; Dias 2021           ; 0.780;  7.079
FSR 441                  ; Kharchenko+ 2013    ; 0.521;  8.650
FSR 442                  ; 2016DAML            ; 1.437;  9.000
FSR 442                  ; 2020A&A...640A...1C ; 0.763;  8.87
FSR 442                  ; Kharchenko+ 2013    ; 1.437;  9.000
FSR 442                  ; Tarricq 2021        ;      ;  8.93
FSR 443                  ; 2016DAML            ; 0.999;  8.802
FSR 443                  ; Kharchenko+ 2013    ; 1.083;  8.800
FSR 448                  ; 2016DAML            ; 1.249;  8.550
FSR 448                  ; 2020A&A...640A...1C ; 0.884;  8.59
FSR 448                  ; Dias 2021           ; 0.952;  8.818
FSR 448                  ; Kharchenko+ 2013    ; 1.249;  8.550
FSR 448                  ; Tarricq 2021        ;      ;  8.66
FSR 451                  ; 2016DAML            ; 0.645;  8.700
FSR 451                  ; 2020A&A...640A...1C ; 0.622;  7.13
FSR 451                  ; Dias 2021           ; 0.739;  7.077
FSR 451                  ; Kharchenko+ 2013    ; 0.645;  8.700
FSR 451                  ; Tarricq 2021        ;      ;  7.15
FSR 460                  ; 2016DAML            ; 1.103;  8.705
FSR 460                  ; Kharchenko+ 2013    ; 1.103;  8.705
FSR 465                  ; 2020A&A...640A...1C ; 0.728;  9.77
FSR 465                  ; Kharchenko+ 2013    ; 1.199;  9.090
FSR 480                  ; 2016DAML            ; 0.937;  9.300
FSR 480                  ; Kharchenko+ 2013    ; 0.937;  9.300
FSR 494                  ; 2016DAML            ; 0.521;  9.300
FSR 494                  ; 2019 Casali         ;      ;  8.70
FSR 494                  ; 2020A&A...640A...1C ; 0.688;  8.95
FSR 494                  ; Dias 2021           ; 0.914;  8.870
FSR 494                  ; Kharchenko+ 2013    ; 0.521;  9.300
FSR 494                  ; Tarricq 2021        ;      ;  8.95
FSR 496                  ; 2016DAML            ; 0.770;  9.055
FSR 496                  ; 2020A&A...640A...1C ; 0.606;  9.31
FSR 496                  ; Dias 2021           ; 1.008;  8.807
FSR 496                  ; Kharchenko+ 2013    ; 0.770;  9.055
FSR 496                  ; Tarricq 2021        ;      ;  9.36
FSR 498                  ; 2016DAML            ; 0.150;  8.550
FSR 498                  ; 2020A&A...640A...1C ; 0.356;  7.73
FSR 498                  ; Dias 2021           ; 0.491;  7.473
FSR 498                  ; Kharchenko+ 2013    ; 0.150;  8.550
FSR 498                  ; Tarricq 2021        ;      ;  7.79
FSR 503                  ; Kharchenko+ 2013    ; 0.799;  9.180
FSR 505                  ; BDCC                ; 0.30 ;  9.15
FSR 508                  ; 2016DAML            ; 1.199;  9.180
FSR 508                  ; Kharchenko+ 2013    ; 1.499;  6.670
FSR 519                  ; 2016DAML            ; 0.700;  9.220
FSR 519                  ; Kharchenko+ 2013    ; 0.697;  7.350
FSR 522                  ; 2016DAML            ; 0.874;  9.075
FSR 522                  ; Kharchenko+ 2013    ; 0.916;  8.550
FSR 524                  ; Dias 2021           ; 0.964;  8.438
FSR 524                  ; Kharchenko+ 2013    ; 0.541;  9.190
FSR 524                  ; Tarricq 2021        ;      ;  8.79
FSR 534                  ; 2016DAML            ; 0.600;  8.700
FSR 534                  ; 2020A&A...640A...1C ; 0.641;  7.41
FSR 534                  ; Kharchenko+ 2013    ; 0.600;  8.700
FSR 536                  ; 2016DAML            ; 1.199;  8.397
FSR 536                  ; 2020A&A...640A...1C ; 1.244;  8.06
FSR 536                  ; Kharchenko+ 2013    ; 1.199;  8.397
FSR 536                  ; Tarricq 2021        ;      ;  8.14
FSR 537                  ; 2016DAML            ; 0.666;  9.000
FSR 537                  ; 2020A&A...640A...1C ; 0.453;  7.90
FSR 537                  ; Dias 2021           ; 0.594;  7.149
FSR 537                  ; Kharchenko+ 2013    ; 0.666;  9.000
FSR 537                  ; Tarricq 2021        ;      ;  8.06
FSR 538                  ; 2016DAML            ; 1.062;  8.860
FSR 538                  ; Kharchenko+ 2013    ; 1.062;  8.860
FSR 542                  ; 2016DAML            ; 0.833;  8.350
FSR 542                  ; 2020A&A...640A...1C ; 1.013;  8.93
FSR 542                  ; Kharchenko+ 2013    ; 0.833;  8.350
FSR 542                  ; Tarricq 2021        ;      ;  8.98
FSR 546                  ; 2016DAML            ; 1.099;  9.000
FSR 546                  ; Kharchenko+ 2013    ; 1.099;  9.000
FSR 547                  ; 2016DAML            ; 0.300;  8.900
FSR 547                  ; Kharchenko+ 2013    ; 0.300;  8.900
FSR 551                  ; 2016DAML            ; 1.499;  6.680
FSR 551                  ; 2020A&A...640A...1C ; 0.331;  7.13
FSR 551                  ; Dias 2021           ; 0.525;  7.234
FSR 551                  ; Kharchenko+ 2013    ; 1.499;  6.680
FSR 551                  ; Tarricq 2021        ;      ;  7.17
FSR 553                  ; 2016DAML            ; 0.999;  8.600
FSR 553                  ; 2020A&A...640A...1C ; 0.350;  9.53
FSR 553                  ; Dias 2021           ; 0.608;  8.855
FSR 553                  ; Kharchenko+ 2013    ; 0.999;  8.600
FSR 553                  ; Tarricq 2021        ;      ;  9.58
FSR 558                  ; 2020A&A...640A...1C ; 0.788;  8.73
FSR 558                  ; Kharchenko+ 2013    ; 0.999;  8.800
FSR 558                  ; Tarricq 2021        ;      ;  8.83
FSR 569                  ; Kharchenko+ 2013    ; 1.312;  8.375
FSR 576                  ; Kharchenko+ 2013    ; 2.082;  8.550
FSR 584                  ; 2016DAML            ; 1.041;  9.100
FSR 584                  ; Kharchenko+ 2013    ; 1.041;  9.100
FSR 59                   ; 2016DAML            ; 1.083;  8.400
FSR 59                   ; Kharchenko+ 2013    ; 1.083;  8.400
FSR 591                  ; 2016DAML            ; 1.249;  8.950
FSR 591                  ; Dias 2021           ; 0.732;  7.014
FSR 591                  ; Kharchenko+ 2013    ; 0.604;  6.850
FSR 596                  ; 2016DAML            ; 0.521;  9.150
